task_id,configuration_id,valid_repetitions,successes,success_probability,official_test_fraction,task_wall_time_ms,strategy_wall_time_ms,summed_provider_execution_time_ms,provider_invocations,provider_tool_calls,total_tokens,peak_concurrent_provider_processes,concurrency_factor
cache_invalidation,parallel2-codex,1,1,1.0,1.0,105753.35145799909,105008.90404201346,135896.43274998525,4.0,19.0,264600.0,2.0,1.2941419967169059
cache_invalidation,single-codex,1,1,1.0,1.0,36393.227291991934,35692.63587502064,35449.20966698555,1.0,5.0,75317.0,1.0,
cache_invalidation,staged-codex,1,1,1.0,1.0,82762.6783340238,82043.37833303725,80594.01770908153,3.0,9.0,147764.0,1.0,0.9823342157112014
incorrect_api_response,parallel2-codex,1,1,1.0,1.0,51451.13687496632,50747.4444169784,63112.623708031606,4.0,10.0,172441.0,2.0,1.2436611229021068
incorrect_api_response,single-codex,1,1,1.0,1.0,20331.140791997313,19632.5196660473,19561.25049997354,1.0,4.0,59009.0,1.0,
incorrect_api_response,staged-codex,1,1,1.0,1.0,43138.078542018775,42450.020832999144,41255.468374991324,3.0,6.0,106455.0,1.0,0.971859791006764
