task_id,configuration_id,valid_repetitions,successes,success_probability,official_test_fraction,task_wall_time_ms,strategy_wall_time_ms,summed_provider_execution_time_ms,provider_invocations,provider_tool_calls,total_tokens,peak_concurrent_provider_processes,concurrency_factor
bounded_retry,parallel2-codex,3,2,0.6666666666666666,1.0,69248.67484666174,68685.79584734591,91099.30722233064,3.0,10.0,222050.0,1.6666666666666667,1.2477341551767211
bounded_retry,single-codex,3,3,1.0,1.0,51611.961972007215,50888.5253193439,50711.03627799312,1.0,5.666666666666667,82705.33333333333,1.0,
bounded_retry,staged-codex,3,2,0.6666666666666666,1.0,105534.23738900649,104896.61524999731,103241.68404160689,3.0,10.666666666666666,169514.66666666666,1.0,0.9840189280550257
cache_invalidation,parallel2-codex,3,2,0.6666666666666666,1.0,102320.89749999189,101747.81729197518,130745.28663871267,4.0,16.666666666666668,230674.0,2.0,1.2894455159146867
cache_invalidation,single-codex,3,3,1.0,1.0,31317.6213473392,30621.351902664173,30553.676264030702,1.0,5.0,73549.0,1.0,
cache_invalidation,staged-codex,3,3,1.0,1.0,91874.60163864307,91158.93113865361,89673.01533299421,3.0,9.333333333333334,151729.33333333334,1.0,0.9836422866615361
cross_file_permissions,parallel2-codex,3,3,1.0,1.0,96801.94925000735,95711.57144400058,125882.81869434286,4.0,15.0,237206.66666666666,2.0,1.3194083021918301
cross_file_permissions,single-codex,3,3,1.0,1.0,46330.303208301,45570.82998634238,45437.17230567321,1.0,5.0,75059.66666666667,1.0,
cross_file_permissions,staged-codex,3,3,1.0,1.0,105418.49279166975,104511.55697232268,100948.44002765603,3.0,11.333333333333334,169772.66666666666,1.0,0.9646670601889973
cursor_pagination,parallel2-codex,3,0,0.0,0.5,106985.53216664975,106403.20644465585,139578.4484166652,4.0,15.0,230514.33333333334,2.0,1.3107382534386998
cursor_pagination,single-codex,3,0,0.0,0.5,39163.62552796878,38386.34863868356,38196.12516701454,1.0,5.333333333333333,80948.33333333333,1.0,
cursor_pagination,staged-codex,3,0,0.0,0.5,102613.6212083123,101983.74148566897,100307.8560003584,3.0,9.666666666666666,149400.0,1.0,0.9828249516765717
extract_transport_refactor,parallel2-codex,3,0,0.0,,120328.33918034642,120036.97634732816,161483.34648566865,2.3333333333333335,10.0,,1.6666666666666667,1.3453468774280317
extract_transport_refactor,single-codex,3,0,0.0,0.5,84766.98200001071,71843.44554151176,83914.84416633223,1.0,6.666666666666667,99548.33333333333,1.0,
extract_transport_refactor,staged-codex,3,0,0.0,0.5,110330.94815267638,109893.91569434277,108856.24559699015,2.0,6.333333333333333,111046.5,1.0,0.99043520661898
incorrect_api_response,parallel2-codex,3,3,1.0,1.0,53966.96465266481,53242.097306007054,65875.52697199862,4.0,9.666666666666666,160488.66666666666,2.0,1.2527079927776508
incorrect_api_response,single-codex,3,3,1.0,1.0,24912.707499655273,24209.00419432049,24091.152374652058,1.0,4.333333333333333,62136.0,1.0,
incorrect_api_response,staged-codex,3,3,1.0,1.0,51410.01412499463,50690.850972314365,49310.59652731832,3.0,7.0,120658.0,1.0,0.972764036174972
js_batch_dedupe,parallel2-codex,3,1,0.3333333333333333,1.0,175934.26155564762,175369.25533334338,247344.4260690206,4.0,16.666666666666668,299501.0,2.0,1.4099569585917744
js_batch_dedupe,single-codex,3,3,1.0,1.0,60850.5894166689,60026.66802770303,59906.32366631568,1.0,5.333333333333333,80231.66666666667,1.0,
js_batch_dedupe,staged-codex,3,1,0.3333333333333333,1.0,112955.96677798312,112498.98561134857,111335.59936129798,2.3333333333333335,7.0,188810.0,1.0,0.9642747962579863
js_ttl_cache,parallel2-codex,3,0,0.0,0.5,106558.75586066395,106108.31334732939,154415.88609731602,4.0,14.0,204313.0,2.0,1.4453653740224635
js_ttl_cache,single-codex,3,0,0.0,0.5,64646.36512533374,63842.30356933161,63782.303764329605,1.0,5.666666666666667,84272.0,1.0,
js_ttl_cache,staged-codex,3,0,0.0,0.5,108344.09530534565,107890.15279132097,106800.91366666602,2.3333333333333335,8.0,148348.0,1.0,0.98935055497537
lock_inventory,parallel2-codex,3,0,0.0,0.5,126800.27131932245,126038.27662502106,165793.56127699916,4.0,16.333333333333332,265194.0,2.0,1.3159808426982798
lock_inventory,single-codex,3,0,0.0,0.5,55739.76422235137,54950.73645833569,54788.810583335966,1.0,7.333333333333333,107227.33333333333,1.0,
lock_inventory,staged-codex,3,0,0.0,0.5,121328.0556530226,120540.8620556894,118844.70697199383,3.0,10.0,162170.0,1.0,0.9858219856636574
request_validation,parallel2-codex,3,2,0.6666666666666666,1.0,108489.404096986,107877.63398596628,151430.53149996558,3.6666666666666665,14.666666666666666,225121.66666666666,2.0,1.4007437976688297
request_validation,single-codex,3,3,1.0,1.0,71517.8153613233,70690.23819434612,70565.34956933076,1.0,6.333333333333333,94737.66666666667,1.0,
request_validation,staged-codex,3,1,0.3333333333333333,1.0,113080.32523600075,112613.11656968125,111145.39656966615,2.6666666666666665,8.0,141478.0,1.0,0.9868162375629878
resource_cleanup,parallel2-codex,3,2,0.6666666666666666,1.0,106673.48113865592,105942.46886131198,141438.9026106413,4.0,14.666666666666666,232972.33333333334,2.0,1.329053349217031
resource_cleanup,single-codex,3,3,1.0,1.0,35860.28209736105,35100.02783330856,34973.65319431992,1.0,6.0,84540.0,1.0,
resource_cleanup,staged-codex,3,2,0.6666666666666666,1.0,107907.75826367705,107331.48033367858,105621.18984735571,3.3333333333333335,10.666666666666666,167104.0,1.0,0.984171281299084
transaction_transition,parallel2-codex,3,0,0.0,0.5,116037.35134733142,115480.3185420072,161680.85222231457,4.0,13.666666666666666,206917.0,2.0,1.3983881308581114
transaction_transition,single-codex,3,0,0.0,0.5,47720.227360997036,46997.31073633302,46931.89722266592,1.0,6.0,83535.66666666667,1.0,
